Document,Left,Term,Right
5,or sprayed water at the ,audience, to simulate a rainstorm. (And
5,that the kids in the ,audience, will all end up as
5,"may say, because the target ",audience, is primary school kids. But
5,"But really, it's not. The ",audience, may be school-goers but
5,would be thrown by the ,audience, and actually break out of
5,they totally blanked out the ,audience, and delivered their lines as
5,I am not the target ,audience,. And ultimately I believe that
5,ideal. Janice Koh rewarded the ,audience," with her credible, in-the"
5,"in the final scene, the ",audience, began their tentative applause - tentative
5,"in my opinion, insulted its ",audience, by not considering what they
5,went on. I think the ,audience," noticed it was dragging, because"
5,"cliche infection spreads, and the ",audience, starts realising that pretty much
5,two clouded glass doors. The ,audience, sat on the floor. Dotted
5,While each performer captivated the ,audience," in their own right, THE"
5,"He refuses to eat, the ",audience," fails to see, or recognise"
5,Samosir was seated in the ,audience," and recounted, her voice full"
5,the stage and implored the ,audience, to watch an underage porn
5,of version one - welcoming the ,audience, and promising to perform for
5,The subsequent scenes remove the ,audience, from this private space to
5,real connections yet leaves an ,audience, to wonder if they are
5,world of theatre to an ,audience, which may otherwise have never
5,was spelled out for the ,audience,", telegraphed a mile away and"
5,"of fluff? After all, the ",audience, did seem to enjoy it
5,"to mass audiences. Yes, some ",audience, members may have enjoyed CONFESSIONS
5,"were better. Simply put, the ",audience, was shortchanged. But the thing
5,"As Act One unfolds, the ",audience, slowly realizes that the supposed
5,"one after another, leaving the ",audience, with no time to stop
5,was definitely what drew the ,audience, closer to the characters. Jean
5,"mess is created, leaving the ",audience, weak with laughter. I am
5,"Phyllis, where he indulged the ",audience, with loud histrionics and an
5,poster. Somehow I don't think ,audience, members were coming into MARDI
5,music so loud that the ,audience, can't hear what the actors
5,a refund!_ Someone in the ,audience, remarked during the interval of
5,"Equus' or ROYAL HUNT, the ",audience, can always expect an infusion
5,"dialogue and interaction, giving the ",audience, something concrete to work with
5,and beautiful performance gave the ,audience, a lift after lengthy tracts
5,like the gentleman in the ,audience, who remarked that he had
5,a darkened stage as the ,audience, sees a solitary figure surrounded
5,its messages pounded into the ,audience,. The messages were not subtle
5,that OH MAN!'s target ,audience, is heartlanders ripe for a
5,nothing more insightful to its ,audience, than the New Paper has
5,"pink proclamation. And anyway, the ",audience, on the night I attended
5,I question whether a community ,audience, actually exists in Singapore unless
5,of cosmopolitans and westerners. An ,audience, for _good_ theatre does seem
5,leaving the characters and the ,audience, simply not enough time to
5,to and interact with the ,audience,. She asked us all whether
5,of song that delighted the ,audience,"), more than being about God"
5,did not attempt to match ,audience, expectations but to challenge them
5,during William's visit. Like the ,audience,", William is at once perplexed"
5,"the falling mast, and the ",audience, is finally faced with Madeline's
5,at the emotions of the ,audience,". Unfortunately, the supporting cast was"
5,with her back facing the ,audience,", her black, long braid a"
5,with her back to the ,audience,", counteracting the younger trio's boundless"
5,"out, and stares at the ",audience, throughout with a discomforting defiance
5,play with a clear target ,audience," in mind, and, judging from"
5,"I attended, members of the ",audience, were provoked into questioning the
5,play with a clear target ,audience," in mind, and, judging from"
5,corner of the stage. The ,audience, huddles in a corner of
5,"time, the performers lead the ",audience,", who have up to now"
5,now the pictures of the ,audience, are mixed in with the
5,"that is, a Chinese -culture ",audience, will sit quietly and appreciate
5,time after the Western-trained ,audience, is getting restless and saying
5,with his back to the ,audience,". Unfortunately the other players, Xue"
5,lot of laughs from the ,audience, by each playing dual roles
5,cast members running around the ,audience," worked a treat and, together"
5,"bisexual daughter, Low captivates the ",audience, with her commanding presence and
5,Ng continues to rouse the ,audience, with her performance of a
5,to invite laughter from the ,audience,", as she sings her lines"
5,am I going to? the ,audience, is asking themselves just the
5,and therefore lost to some ,audience," members, myself included, the audience"
5,"audience members, myself included, the ",audience, was hooting and roaring with
5,sat well with the appreciative ,audience,. When watching more than two
5,sat well with the appreciative ,audience,' Opening the evening were two
5,aim was to let the ,audience," leave, feeling futile, then it"
5,tests the patience of the ,audience,. What did not help was
5,"fifteen minutes or so, the ",audience, saw Grandmother and Boy talking
5,nothing is really resolved. The ,audience, never truly finds out what
5,a concrete consequence? Does the ,audience, have to make up their
5,of assumptions left for the ,audience, to make and to some
6,"wrong together, and so the ",audience, quickly accepts this and moves
6,the two groups means the ,audience, can never forget the problem
6,first two rows of the ,audience,. A CHORUS OF DISAPPROVAL was
6,"pointed out to me, the ",audience, should watch all three performances
6,"hand, one suspects that many ",audience, members would probably not have
6,material that he forgets the ,audience, before him that he has
6,"John Aizlewood who said, The ",audience, has a choice: if you
6,much harder to keep the ,audience, with you without feather boas
6,very successful - it kept the ,audience, chortling and was a sprightly
6,itself unambiguously to the gay ,audience, it would inevitably attract. As
6,young men who populated the ,audience, than to their mothers who
6,mildly amusing and made the ,audience, laugh. And at least 'Supper
6,got laughs from half the ,audience,", I'm fairly sure they got"
6,speaking directly to his intended ,audience,", neither toning anything down for"
6,banal metaphysics or the target-,audience, confusion of the first two
6,much as it pleases the ,audience,: enthroned on a piano (which
6,of the cast left the ,audience, pricking up their ears for
6,to the amusement of the ,audience,. Nicola Perry did a great
6,"Similarly, Steve Clark had the ",audience, in stitches with his loss
6,laughs from a very kind ,audience,", Barolsky managed to bring out"
6,convincing as policemen that the ,audience, visibly strained their ears in
6,and would have bored the ,audience, stiff with poor direction. The
6,genre. Not only was the ,audience, treated with humour of despair
6,"times, untranslatable to a Singaporean ",audience,". Humour (and comedy), it is"
6,"Animal Farm', confident that the ",audience, will join him in laughing
6,fourth wall and drown the ,audience, in treacly sentiment. There are
6,Ensler's script. Samosir engaged the ,audience, from the start with her
6,perfect and resonate with the ,audience,", which means the script has"
6,living room is what the ,audience, sees right through from the
6,multimedia images flashed to the ,audience,", as well as the feelings"
6,SMS pal. Lee gives the ,audience, quite a bit to digest
6,sometimes difficult for a modern ,audience, to connect with. THE GOSPEL
6,already so familiar to their ,audience,? To convert audience members? Respectfully
6,to their audience? To convert ,audience, members? Respectfully presented as it
6,more devout Christians in the ,audience, than in the cast.) To
6,"In the second act, the ",audience, begins to see the light
6,and whose facial reactions the ,audience, could clearly see. Of course
6,so that everyone in the ,audience, would have had a chance
6,acting and performative atmosphere. The ,audience, was compelled to follow the
6,The second half intrigued the ,audience, with the controversies of ICSI
6,for closer identification with the ,audience,. The play is set in
6,"dark secrets being revealed, the ",audience, cannot help but be drawn
6,minutes after most of the ,audience," took their seats, Karen Tan"
6,it seemed as if the ,audience, had paid to watch Tan
6,In a play where the ,audience, sees nothing but the same
6,home. It actually made the ,audience," hungry, and some of them"
6,"found freedom, and left the ",audience, with an optimistic ending. Sounds
6,than staring out at the ,audience,", catatonic from depression. But I"
6,one step ahead of the ,audience," at all times, and he"
6,through her performance that the ,audience, would be persuaded to believe
6,the better to set the ,audience, questioning and wondering - and then
6,"then later on, when the ",audience, had decided on some answers
6,from his cast. Having the ,audience, seated on three sides of
6,daughter's apparent heartlessness: we the ,audience, notice her subtle gestures of
6,the necessary information to his ,audience,. The rest of the time
6,The lights dim and the ,audience, waits in anticipation for what
6,"Unlimited appears, to welcome the ",audience, and she promises them an
6,"sometimes alternating, meaning that the ",audience, was laughing one moment and
6,"mime technique well, delighting the ",audience, with her ability to relate
6,feelings of sympathy in the ,audience,. This voice then changed to
6,and Charlotte Chiew face the ,audience,", and do a fantastic job"
6,amusing piece that left the ,audience, in hysterics with the character's
6,Low Keng Shin delighted the ,audience," as Zanni, the lovable guy"
6,two lucky members of the ,audience, were chosen to get up
6,Zanni Commits Suicide' charmed the ,audience, with their humour and wit
6,"food for thought, allowing the ",audience, to reflect on the current
6,say that many in the ,audience, clearly enjoyed the production - but
6,intended to deliver to the ,audience," with their musical play, SING"
6,on stage and entertaining the ,audience, with bubbly renditions of songs
6,"Kay Siu, who addressed the ",audience, in a friendly manner and
6,name a couple) reminding the ,audience, of the good old days
6,on truths and stereotypes the ,audience, could see around them in
6,interact with and amuse the ,audience,". This was certainly entertaining, but"
6,it succeeded in engaging the ,audience,", communicating with them directly by"
6,"trips to various places, the ",audience, knew that this was an
9,have high expectations of the ,audience,", the play is boldly ambiguous"
9,and excites you as an ,audience," member. In fact, even more"
9,has definitely reconnected with this ,audience, member. Good People is easily
9,sense of intimacy with her ,audience,". The Esplanade Recital Studio, by"
9,box with an expanse and ,audience, capacity comparable to any proscenium
9,child's dream and imaginings. The ,audience,", featuring many young Alice lookalikes"
9,enthusiasm and engagement with the ,audience,. This is no mean feat
9,and gave the young ballet ,audience, someone to identify with. All
9,with young Alice and the ,audience,. Other strong moments were the
9,both the dancers and the ,audience,. The cast also had to
9,Nora looking meaningfully at the ,audience," after he cries out, No"
9,regardless of the age of ,audience," members, the truism that Finger"
9,"stage door, finding the entire ",audience, of 200 is squeezed onto
9,"Theatre inside out, cramming 200 ",audience, members onto the stage and
9,both behind and before the ,audience,". The weird, unexpected movements of"
9,for their proximity to the ,audience,: one can feel the gust
9,Zane Dance Company left the ,audience," wanting more, despite being bombarded"
9,no escape or reprieve. The ,audience, became enmeshed in the work
9,The Brain rewards an attentive ,audience, – the more you pay attention
9,set out to entertain the ,audience, with a free flow of
9,"dances, they mostly faced the ",audience," as a group, instead of"
9,let the show (and the ,audience,) breathe. They gave respite from
9,people share personal stories. The ,audience, members who volunteer to become
9,and the rest of the ,audience, with their stories and likewise
9,couple of the storytellers and ,audience, members actually cried as the
9,such intimate stories from the ,audience, in the first place as
9,did not think so: many ,audience, members happily volunteered to share
9,time performing to a public ,audience, composed of random people who
9,a natural at engaging his ,audience,. After covering the requisite topics
9,if the laughter from the ,audience, at inappropriate points in the
9,stunt casting by wowing the ,audience," with truly inspired performances, and"
9,the front row of the ,audience, as the actors moved around
9,actors moved around and the ,audience," would respond instinctively, drawing attention"
9,am being too generous: the ,audience, was noticeably smaller after the
9,and the laughter from the ,audience, at inappropriate moments when the
9,officers or directly to the ,audience,. His presence is so commanding
9,always fully aware of his ,audience,", there are times when you'd"
9,something as extrinsic as the ,audience,. Adrian Pang as the wisecracking
9,character. Catherine Wong worked the ,audience, deftly; by throwing in a
9,to the roars of the ,audience,", she played on the various"
9,the plot and distracted the ,audience,. The throwaway character of the
9,magicians' ailments. While the younger ,audience, was tickled pink by the
9,and enthralling an eager youth ,audience,", I take my hat off"
9,appreciative laughs from its youth ,audience,", it unfortunately didn't press many"
9,intertwined narrative that propels the ,audience, through various episodes in their
9,"without the programme notes, the ",audience, would not know that the
9,a good lot of the ,audience, had obviously wandered over out
9,"of the show, leading the ",audience, in simple warm-ups and
9,sketch. We weren't a seasoned ,audience, of sophists - we were a
9,"in 2000 and 2004), where ",audience, members tried and prevent a
9,inclusive to everyone in the ,audience,". Besides the simultaneous translations, Kok"
9,actively sought to ask volunteer ,audience, members how they could personally
9,had few surprises for the ,audience,. Despite the lack of choreographic
9,Bones continued to tantalise the ,audience, with various theatrical devices that
9,the crow. Despite tantalising the ,audience, with various images suggesting deeper
9,or satisfy most of the ,audience, – the applause was muted rather
9,"to love struck, transporting the ",audience, with their emotional power and
9,place facing away from the ,audience," (blocking), the dialogue had to"
9,that spoke exclusively to an ,audience, of youth. It should have
9,For the majority of the ,audience,", largely composed of school groups"
9,in fear of the student ,audience, joining in the protest and
9,provocative enough for a student ,audience, but thematically and aesthetically disappointing
9,engaged works to the Singapore ,audience,. Survivor Singapore might have made
9,the local concerns of its ,audience,. But to claim it's among
9,"plot was hidden, leaving the ",audience, to guess at the context
9,for some members of its ,audience, - precisely because of this approach
9,"middle, served to keep the ",audience," at arm's length, which is"
9,mind's eye perspective for the ,audience,". Between scenes, an aged man"
9,felt she played to the ,audience, rather than being immersed in
9,"with Lear, she faced the ",audience, to speak her lines when
9,"come, not only as an ",audience, member but also as a
9,"haunt Kim, Lina and the ",audience,. The chilly tone of the
9,and a wink to the ,audience,"; Oliveiro pulled exaggerated, cartoon faces"
9,and Chee's pants. Although the ,audience," responded warmly to this, I"
9,with less mugging to the ,audience, for comic effect but generally
9,what many members of the ,audience, would be taking away with
9,"understand Mandarin. Similarly, the Chinese ",audience, member next to me spent
9,artist must also respect the ,audience,. The artists' other argument was
9,you would be his ideal ,audience,. Part lecture and part dance
9,"about. During this time, the ",audience," heard no music, saw limited"
9,quiet skill in engaging the ,audience,. Bel had a canny ability
9,that of the typical contemporary ,audience, member. During this lengthy lecture
9,"and left unanswered, leaving the ",audience, to continue our own journey
9,disparate pieces sometimes leaves its ,audience, struggling to even follow the
9,both thrill and unsettle the ,audience,. A virtuosic cast is also
9,actors often speak facing the ,audience,", and each wrinkle of pain"
9,"solid cast, who bring the ",audience, deep into the consciousness of
9,"hearts, that he wants the ",audience, to attend to. Huzir's intrigued
9,work for many in the ,audience,": its iciness and stark, uncompromising"
9,of crisp poetic language. Some ,audience, members are sure to be
9,same way they distract his ,audience, from their hardships. In his
9,lost on us in the ,audience,: the very language that displaced
9,it alive to engage the ,audience, - in its current state it
9,dance choreography that invites the ,audience, to join them on their
9,making Aether work for the ,audience, by the process of expectation
9,"crowd-pleasing antics, sending the ",audience, into fits. Stages took a
9,the protagonists first address the ,audience, with manic earnestness. At the
9,into explosive rants accusing the ,audience, of conveniently (putting) a label
9,fine line between stage and ,audience,. The sharp contrast between the
9,might have deeply affected the ,audience, when Off Centre was first
9,"only connect, but move the ",audience, through something as alienating as
9,small detail and lets his ,audience, fill in the rest of
9,were so graphic that the ,audience," collectively gasped, but they were"
9,"public fora, to engage their ",audience, and stimulate discussion. In this
9,for the dancers - and the ,audience, - to dig below the surface
9,finds a bigger theatre and ,audience, to accommodate its bigger budget
9,"during a fight scene, the ",audience, will also be treated to
9,the most attention deficit disordered ,audience,. The Dollies belted out overwrought
9,like for members of the ,audience, who were coming in with
9,"the play, members of the ",audience, burst into laughter at what
9,from some members of the ,audience,. I'm not sure if this
9,by Wong or whether these ,audience, members were simply already In
9,"pandan leaf, and as the ",audience," enters the stage area, dried"
9,in direct address to the ,audience, while the ensemble mills behind
9,the several rows of the ,audience, to shift their seats specially
9,and reported that half the ,audience, had been nodding off in
9,"of cheekiness, winking at the ",audience," with local references, thumbing its"
9,of the storyline. To help ,audience, members just coming along for
9,made it difficult for the ,audience, to follow the narrative and
9,"apartment, both peer into the ",audience, through make-believe windows before
9,demands a careful and discerning ,audience,: huge chunks of the dialogue
9,following scene momentarily confused the ,audience,", and would have benefited from"
9,"pathos, Jochen Roller guided the ",audience, through his thoughts on the
9,"one point, he offered an ",audience, member $10 to entertain us
9,the performance - and of the ,audience, - seemed to be flagging; the
9,rap and he teased the ,audience, with these from time to
9,and exciting; they left the ,audience, wanting much more dance and
9,have been some in the ,audience, who were moved by the
9,cultural experience catering to an ,audience, of thousands on the grass
9,redeeming the play in some ,audience, members' eyes. The first thread
9,where fairies mingled with the ,audience,", delivering blessings with their hands"
9,really expect none of the ,audience, to know these are rip
9,of walkways that encompasses the ,audience," on the green, provides for"
9,too dreadful to remember. The ,audience, also thrilled to the pageantry
9,chose to turn to the ,audience, when exposing her breasts. If
9,"noted, however, that while the ",audience," enjoyed his bragging, his entourage"
9,consistent complaint made by some ,audience, members was an inability to
9,monologue directly addressed to the ,audience,. Paul does not even completely
9,"historical sites, nature itself? The ",audience, is thus quietly tested - forced
9,largely written with a teenage ,audience," in mind, there's a lot"
9,"would make a modern, informed ",audience," go wow, but within the"
9,"the action's at, as the ",audience, is swept into a madcap
9,the most laughs from the ,audience, because of her impeccable comic
9,out a character that an ,audience, can empathise with and root
9,fun storyline which takes the ,audience, into a fantastical world. While
9,do skirted backflips amidst the ,audience, while Kumar lip-synced to
10,that the children in the ,audience, happily shout along to. Swordfish
10,"of the show, addresses the ",audience, thus: You philistines of Singapura
10,enjoys insulting anyone in its ,audience, who might be enjoying it
10,having genuine fun - and the ,audience,", who had dutifully chuckled at"
10,boy stares directly at the ,audience,", as if daring us to"
10,sitting with you in the ,audience, moments before jumping up onstage
10,"is clumsily handled, and the ",audience, can't help but witness the
10,"works of this nature, the ",audience, is expected to pull the
10,or a member of the ,audience,", it's not often that dance"
10,actors deliver to apprise the ,audience, of their characters' musings. To
10,having the characters tell the ,audience, sententious myths. Over the course
10,a performance that split the ,audience, - you either thought it was
10,both the dancers and the ,audience,. Singapore Dance Theatre embraced the
10,and enigmatic - it invited the ,audience, to reflect on their own
10,on the part of the ,audience, in learning the little details
10,"As the play opens, the ",audience, is quickly thrust from a
10,"but in the meantime, the ",audience, can laugh at her songstress
10,for a lot of the ,audience, - my fellow Inkpot reviewer Kenneth
10,Some plays intentionally push their ,audience, away while others prefer to
10,are those which invite the ,audience, round for tea and a
10,show's begun even before the ,audience, finishes finding their seats. Passages
10,perform performing. A few fellow ,audience, members found that the games
10,"mind, and with a growing ",audience," for dance, there're sure to"
10,never understand why although the ,audience, can guess the reason from
10,"backwards, and so that the ",audience, might find some reason to
10,the most tolerant among the ,audience,. Save for Ken Kwek's Real
10,allure of an ending. The ,audience,", like the characters, is made"
10,sheer desperation that keeps the ,audience," on a tight, quivering leash"
10,"polarising work to date, several ",audience, members walked out before the
10,"Aliffi, playing Arif, captivated the ",audience, even without a solo. Right
10,humour and interact with the ,audience, to some degree - but the
10,making it difficult for the ,audience," to follow. For example, the"
10,for love extended to the ,audience, in one part and the
10,commitment on either side. The ,audience, wanted to join in more
10,of trust between company and ,audience,. That unspoken contract: give me
10,over-the-top that the ,audience, was laughing out loud during
10,midst of shame. Winning the ,audience," vote, however, was the play"
10,actors walking up to the ,audience,", sitting and standing among us"
10,"play, their punchiness helps sustain ",audience, interest. This is especially vital
10,"musical to physical theatre, from ",audience, interaction to naturalistic acting. I
10,point of frustration for the ,audience,. Most of the text is
10,21st century world. What's the ,audience, to make of this? It's
10,to be teachers and the ,audience, are the students (although at
10,with improvised interaction as the ,audience," streams in, describing herself as"
10,comfort zone as a theatre ,audience, member that laughter is the
10,Malay-speaking member of the ,audience," who is, in fact, not"
10,Malay-speaking member of the ,audience, can make herself hear Malay
10,confusing ... Different members of the ,audience, are experiencing the play in
10,half rather than with the ,audience,. Effendy and Yeo take turns
10,the interactive moments with the ,audience, or in the more scripted
10,"and, therefore, the way the ",audience, interprets and responds to the
10,military means to a Singapore ,audience,. And I should credit her
10,poignant here is that the ,audience, knows that her keen awareness
10,"to his other mirror, the ",audience,", for validation, he wags a"
10,became almost irrelevant as the ,audience, was always just waiting for
10,wall to interact with the ,audience, as actors rather than characters
10,far in pandering to the ,audience,", especially when engaging in slapstick"
10,"to a technical difficulty, the ",audience, had to leave the theatre
10,state of intimacy with the ,audience,. It feels as if we're
10,"to bed. And we, the ",audience,", finally walk out of the"
10,providing little respite for the ,audience, over two and a half
10,flourishes of theatre at the ,audience, from multiple directions - and I
10,between the dancer and the ,audience,. Although there were some interesting
10,between each other and the ,audience,. There should have been fire
10,"development. Instead, it left the ",audience, short-changed in terms of
10,this programme so that the ,audience, became totally mesmerised by the
10,struck a chord with the ,audience, who became mesmerised by the
10,is pitched perfectly to an ,audience, in the mood for some
10,and Lim gamble that their ,audience, will be familiar enough with
10,gags are lost on the ,audience,", and the atmosphere in the"
10,nice to see as an ,audience, member. He may lack the
10,will. A majority of the ,audience, (including both respected intellectuals and
10,studious theatre critic in the ,audience,", I kept recognising Ho's tricks"
10,"producer, spouting academese at the ",audience,". In Avoidance, he'd wandered around"
10,"Enters, he's seated in the ",audience,", but when the camera and"
10,"actors, so that all the ",audience, attends to is the text
10,"maybe the critics, not your ",audience,. The show began with the
10,"a recurring nightmare: first, the ",audience, and cast sat in uncomfortable
10,to address questions from ordinary ,audience, members. When planted questions arrived
10,to inflict suffering on the ,audience," - and, fortunately for us, the"
10,had been revised to accommodate ,audience," feedback, thus proving that Shakespeare"
10,of our imaginations. To forsake ,audience, interaction was thus to reject
10,to cave in to the ,audience, would've sacrificed the very grandeur
10,"being deliberately sadistic, enclosing the ",audience, in a byzantine cage of
10,Yong succeeded in bringing the ,audience, to tears with her wonderful
10,large French contingent in the ,audience, who were probably expecting more
10,Only Have Love - and the ,audience, was invited to join in
10,"piece of musical theatre, the ",audience, warmed to the raw honesty
10,translated well to our local ,audience,". Kate Monster, embodying the smart"
10,had not seen any Esplanade ,audience, heave with laughter the way
10,has been appreciated by many ,audience, members who relish not being
10,had not seen any Esplanade ,audience, heave with laughter the way
10,surviving students turn towards the ,audience, and stare us down menacingly
10,and Enemy painfully reminds its ,audience, that it means demonstrating compassion
10,and standing ovation from some ,audience, members for Class Enemy will
10,"talkback, a member of the ",audience, said that the play was
10,that many of the local ,audience, members did laugh at some
10,was underway everyone in the ,audience, was captivated. For anyone who
10,blow smoke rings into the ,audience,; the businessmen that patronise the
10,"for his character, giving the ",audience, plenty to cringe about. Also
10,but deliberately thrust on the ,audience,", jarring with the proudly melodramatic"
10,"entertainment, pitched well to an ",audience, imbued with the new-year
10,them. One member of the ,audience, expressed confusion during the post
10,of different races... more discerning ,audience, members may criticise these elements
10,"people so that we, the ",audience,", may continue to remember, may"
10,"narratives and here, as an ",audience," member, I was convinced. Having"
10,when he started lecturing the ,audience,", that my hackles rose. Big"
10,certain number of Drama Box's ,audience," are mainland Chinese, who might"
10,laugh for members of the ,audience, who're regular listeners of the
10,"weakest moment, he told the ",audience,", then explained how he's found"
10,engaging for most of the ,audience, (thus running afoul of prepared
10,bow. I wasn't the intended ,audience, for David the Best! But
10,oft-neglected third tier of ,audience," members, and continued bantering with"
10,"for an interval, leaving the ",audience, unclear if the second half
10,or something entirely different. The ,audience, moved back into a completely
10,both the dancers and the ,audience,. The performers emerged from behind
10,dancers climbed all over the ,audience, and the seating finding their
10,and very exciting for the ,audience, to see the dancers up
10,the growing discomfort of the ,audience,". Without this set-up, Duncan"
10,him far ahead of the ,audience, too - and audiences prefer to
10,overly episodic so that the ,audience,", even though caught up in"
10,"could tell, most of the ",audience, enjoyed Alex more than I
10,of the night because the ,audience, knows that the hostesses are
10,use of cross-dressing (some ,audience, members could not tell that
10,mirror held up to the ,audience,", confronting them with their own"
10,for a cynical modern-day ,audience, member like me to fully
10,proved to connect with the ,audience,", thanks, in no small part"
10,tableaux as seen by the ,audience, through a hanging frame. In
10,"last year's Full Frontal, the ",audience, needs to be able to
10,a director's showcase and the ,audience, is meant to offer input
10,writing and also in the ,audience,. All her explicit speechifying and
10,"own. Instead, they overload the ",audience, with a sub-plot about
10,as if worried that the ,audience, will not get it) and
10,have the characters address the ,audience, at the play's coda as
10,Jubilee Hall were the actual ,audience, for this house of sins
10,responsibility to your ticket-buying ,audience, to make sure these surtitles
10,they are accessible to the ,audience,. I know the play argues
10,behind the rest of the ,audience, and had to work out
10,"stark, intimate conversation with the ",audience,", some of the monologues became"
10,blue pinafores mingling with the ,audience,", speaking English, Cantonese, Malay and"
10,this taboo topic with the ,audience,. The Vagina Monologues was not
10,"backdrops, an intervention into the ",audience," stalls, interviews with local actresses"
10,energy that connected with the ,audience,. I'd guessed that this might
10,by the mixed crowd of ,audience, members each night. And I'm
10,"conveniently occupied by us, the ",audience, members. We are the servicemen
10,and they'll serve their present ,audience, well if they continue staging
10,be less distant from the ,audience, (and more audible with their
10,"barrier between performer, character and ",audience,. But it seemed that Chong
10,"This is why, as an ",audience," member, I can share the"
10,the company some of its ,audience,". And this confuses me, because"
10,by this member of the ,audience,". The truth is, I've always"
10,many Muslim members of the ,audience,": even here in Asia, it's"
10,play. Given the amount of ,audience, concentration required to absorb and
10,and these pauses give the ,audience, time to look around. In
10,certainly I wasn't the only ,audience," member constantly looking around, searching"
10,wondering what we in the ,audience," were staring at, would cast"
10,Station at Vivo City. The ,audience, strains to watch actors who
10,and confusion in what we ,audience," members were doing there, I"
10,La Traviata less overwhelming for ,audience, members like me who were
10,"Like These, was a clear ",audience, favourite. In terms of comic
10,"cabaret MC, wandering through the ",audience, and seducing us to join
10,"Flamenco Sara Baras, teased the ",audience, with the possibility of an
10,"and costuming, she teased the ",audience, with the possibility of an
10,many people in the large ,audience, were intrigued by the title
10,"flesh. At this point, the ",audience, can't tell if it's truth
11,jazz spectacle that enraptures the ,audience, time and again. The opening
11,overly consequential to the loving ,audience, that has lapped up two
11,certainly relish. Quite a few ,audience," members were singing along, undeterred"
11,going by the number of ,audience," members singing along, swaying, and"
11,"Sunrise With Me, had the ",audience, dabbing at their eyes.Music director
11,"doubts remain, remember that the ",audience, has already spoken. The association
11,too late. In seating the ,audience," to the front, left and"
11,its gentle education of the ,audience, in subjects such as symbolism
11,woman presents herself to the ,audience,", delivering a little background brief"
11,a major problem for every ,audience, member – certainly not the 'O
11,the female category and the ,audience," Choice Award, was a real"
11,subject also brings depth. The ,audience, switches from pity to disdain
11,draggy pace (and some elderly ,audience, members even walked out). I
11,if they were afraid the ,audience, might fail to get the
11,through the crowd of the ,audience, and stop someone to tell
11,the divide between actor and ,audience,); yet the consensus amongst my
11,"a puppet playing Tiny Tim, ",audience, involvement) but it was not
11,"of the play, when the ",audience, had been convinced of the
11,which were shared with the ,audience,.) But if the set was
11,it attitude that challenges the ,audience, to think for themselves about
11,"yes, he livens up the ",audience,", but his hammy portrayal is"
11,of Hamlet. A sophisticated Singaporean ,audience,", they declared, was looking for"
11,between the actors and the ,audience, - commenting on the acts of
11,the (requested) insistence of the ,audience,", arrived onstage late like the"
11,rapport and understanding with the ,audience, (I come from India... Singapore
11,like the Danish prince's own ,audience, identification that it was hard
11,flirting with members of the ,audience, in order to make Soso
11,puppet bird. He kept the ,audience, in stitches for the whole
11,"expense, and jibes at the ",audience,. There were moments of straight
11,Raj Kapoor himself told the ,audience, at the post-production talk
11,"a monitor, back to the ",audience,", as shadows filed behind her"
11,text with winks at the ,audience, to show off his literary
11,"was performer here, and who ",audience,? What role are we playing
11,laughs – even more so for ,audience, members more proficient in Mandarin
11,crowd. Drama Box knows its ,audience, for the Dua Dai Ji
11,Loo Zihan's video projections. The ,audience, needed more emotional clarity and
11,the social consciousness of the ,audience, (she was not helped by
11,more publicity to attract an ,audience, that had either seen a
11,able to speak to the ,audience, and I found it hard
11,a visceral response from the ,audience, that would connect us to
11,Fita say they want the ,audience, to create their own connections
11,every single member of the ,audience," present, if their rowdy laughter"
11,Me Horny deserves a wider ,audience, than it gets) or the
11,when the joke is on ,audience,", some of whom were gently"
11,from when he shook each ,audience, member's hand as we entered
11,tea (offered also to select ,audience," members with marked tickets), polite"
11,were constantly communicating with the ,audience,. I must admit that I
11,and symbolic reaches to the ,audience,", it was incongruously costumed in"
11,bases and please a wide ,audience,". Nevertheless, the record-breaking attendance"
11,scene that intentionally included the ,audience, in a mock game show
11,to pull faces at the ,audience, as if reapplying make up
11,"of shadow projection, allowing the ",audience, to observe his antics such
11,peals of laughter from the ,audience, who was constantly being taken
11,"For Cookie, and the entire ",audience, was forced to sing it
11,the purpose for both the ,audience, and the dancers. At present
11,also has a gift for ,audience," interaction, rousing the three different"
11,locating an alumna in the ,audience, and urging her to stand
11,this ad-libbing off the ,audience,", it's no wonder no subtitling"
11,show rather than tell the ,audience, what to think. In the
11,rather than to let the ,audience, make our own references. For
11,"and The Dining Room, few ",audience, members caught the underlying meaning
11,me no end - but the ,audience, clearly loved her. She consistently
11,respect – it toyed with the ,audience, and certainly kept us engaged
11,an interesting exercise for the ,audience, as we seek to make
11,mouthful of text onto the ,audience,. Flower is a martyr and
11,on the very subversion of ,audience, expectations and desire. As an
11,expectations and desire. As an ,audience," member, I'm no longer king"
11,practice. They even interrogate the ,audience,", quizzing us about our cultural"
11,We're getting spoiled as an ,audience,", we are.But the treat's not"
11,"Award, i.e. it was the ",audience, favourite. This surprises me exceedingly
11,to a non-Mandarin-speaking ,audience,. And though playwright Yeo Si
11,"the coaster, a moment of ",audience, participation as Liong tries to
11,to gain support from the ,audience, to support the validity of
11,slowly from upstage towards the ,audience, backtracking every now and then
11,each and stare into the ,audience, in semi-darkness with creepy
11,"dream sequence, then remind the ",audience, to wake you up in
11,hit. There'll definitely be an ,audience, for next year. We just
